Box Title,Box UID,Box Status,Override,CSV Path,QC Expiry (h),Last In-Spec QC / Fallback,Latest Match Time,Reason,Used Parsed Time,Sample,Test Name,Expected,k*StdDev,Low,High,Latest Value,In Spec,Units
Agilent GC,box_1870504657248,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,2025-09-24 17:17:30,2025-09-24 17:17:30,Last in-spec QC is stale.,YES,AO24,90% - D86,331.84,3.8,328.04,335.64,334.54,YES,C
Multitek NS,box_1870507241056,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Sulfur Results/Multitek NS/Parsed Data/Multitek NS_parsed.csv,24.00,,2025-09-23 00:36:44.851270,At least one watched test is out of spec or missing.,NO,AO24,Sulfur - D5453,9,1.7,7.3,10.7,6.943,NO,mg/kg
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,API Gravity D4052-22,42.79,0.12,42.67,42.91,,,API
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,IBP - D86,165.69,5.56,160.13,171.25,,,C
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,10% - D86,189.11,2.24,186.87,191.35,,,C
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,50% - D86,246.67,2.24,244.43,248.91,,,C
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,90% - D86,331.84,3.8,328.04,335.64,,,C
Eraspec,box_1870507241920,SERVICE,SERVICE,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,,Insufficient data for one or more tests.,NO,AO24,FBP - D86,365.33,5.52,359.81,370.85,,,C
PAC Flash 2,box_2201765855296,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Optiflash 2/Pac Flash 2_parsed.csv,24.00,2025-09-25 00:00:56,2025-09-25 15:59:27.301294,All watched tests are within expected ranges.,NO,AO24,Flash - D3828,60.72,2.42,58.3,63.14,62,YES,C
Auto Grabner,box_1840573737440,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Auto Grabner/Auto Grabner_parsed.csv,24.00,2025-09-25 00:00:56,2025-09-24 21:59:41.749014,Last in-spec QC is stale.,NO,AO24,Flash - D3828,60.72,2.42,58.3,63.14,60,YES,C
