timestamp,box_uid,box_title,prev_status,new_status,reason
2025-09-16T15:09:33,box_1679150166896,Flash,GREEN,RED,At least one watched test is out of spec or missing.
2025-09-16T15:09:40,box_1679150166896,Flash,RED,GREEN,All watched tests are within expected ranges.
2025-09-16T15:10:54,box_1679150166896,Flash,GREEN,RED,At least one watched test is out of spec or missing.
2025-09-16T15:10:59,box_1679150166896,Flash,RED,GREEN,All watched tests are within expected ranges.
2025-09-16T15:11:20,box_1679150166896,Flash,GREEN,RED,At least one watched test is out of spec or missing.
2025-09-16T15:11:26,box_1679150166896,Flash,RED,GREEN,All watched tests are within expected ranges.
2025-09-16T15:14:43,box_3081148503168,GC,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-16T15:17:41,box_3081148503168,GC,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-16T15:17:54,box_3081148503168,GC,GREEN,RED,At least one watched test is out of spec or missing.
2025-09-16T15:18:36,box_3081148503168,GC,RED,GREEN,All watched tests are within expected ranges.
2025-09-16T17:56:55,box_3081148503168,GC,GREEN,RED,At least one watched test is out of spec or missing.
2025-09-16T17:57:45,box_3081148503168,GC,RED,GREEN,All watched tests are within expected ranges.
2025-09-16T18:00:36,box_1679150166896,Flash,GREEN,SERVICE,Manual override: SERVICE
2025-09-16T18:00:52,box_1679150166896,Flash,SERVICE,GREEN,All watched tests are within expected ranges.
2025-09-16T18:03:52,box_3081148503168,GC,GREEN,RED,At least one watched test is out of spec or missing.
2025-09-16T18:03:52,box_1679150166896,Flash,GREEN,RED,At least one watched test is out of spec or missing.
2025-09-17T10:18:31,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:19:13,box_1870504625920,Multitek S,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:19:13,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:19:13,box_1870504625920,Multitek S,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:19:13,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:19:39,box_1870504625920,Multitek S,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:19:39,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:20:09,box_1870504625920,Multitek S,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:20:09,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:20:09,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:20:13,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:20:13,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:21:09,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:21:09,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:21:13,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:21:13,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:30:46,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:30:46,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:30:46,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:30:46,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:31:19,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:31:19,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:31:20,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:31:20,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:31:21,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:31:21,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:31:21,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:31:21,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:31:45,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:31:45,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:31:46,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:31:46,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:31:46,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:31:46,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:31:46,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:31:47,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:31:47,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:31:47,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:31:47,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:31:47,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:31:47,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:31:47,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:32:03,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:32:03,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:32:03,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:32:03,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:40:06,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:40:06,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:40:06,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:40:06,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:40:17,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:40:17,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:41:05,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:41:05,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:41:54,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:41:54,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:42:05,box_1870504625920,Autograbner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:42:05,box_1870504625920,Mini Grabner,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:42:21,box_2201765855296,PAC Flash 23,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:46:04,box_1840572087840,Handheld API,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:46:14,box_1840572087840,PAC Flash 1,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-17T10:46:14,box_1840572087840,Handheld API,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-17T10:47:08,box_1840572087840,PAC Flash 1,UNKNOWN,GREEN,All watched tests are within expected ranges.
